fid;Tipologia d'espai;Carrer;Barri;Tipologia;Notes;Revisió;X;Y;GENERE
2386;Comerç;Riera de Sant Andreu;Sant Andreu;Estanc;;No;431881,947;4587408,537;MASC
2387;Comerç;C. de les Tres Creus;Sant Andreu;Mecànic;;No;431865,6993;4587389,11;MASC
2388;Comerç;Av. Meridiana;Sant Andreu;Reformes;;No;431863,4917;4587412,687;MASC
2389;Comerç;Av. Meridiana;Sant Andreu;Assessoria;;No;431840,1798;4587333,833;MASC
2390;Laboral (oficines);Av. Meridiana;Sant Andreu;Immobiliaria;;No;431836,6477;4587305,576;MASC
2391;Comerç;Av. Meridiana;Sant Andreu;Perruqueria;;No;431835,9413;4587298,158;MASC
2392;Club/Bar;C. d'Ignasi Iglèsias;Sant Andreu;Bar;;No;431838,7669;4587271,844;MASC
2393;Comerç;C. de Castellbell;Sant Andreu;Mecànic;;No;431994,5331;4587288,445;MASC
2394;Club/Bar;C. de Rubén Dario;Sant Andreu;Bar;;No;432009,1914;4587289,681;MASC
2395;Club/Bar;C. de Rubén Dario;Sant Andreu;Bar;;No;432040,4506;4587282,97;MASC
2396;Laboral (oficines);C. d'Ignasi Iglèsias;Sant Andreu;Assessoria;;No;432054,0492;4587234,051;MASC
2397;Comerç;C. del Pare Secchi;Sant Andreu;Estanc;;No;432047,1616;4587202,262;MASC
2398;Club/Bar;C. del Pare Secchi;Sant Andreu;Bar;;No;432025,2625;4587206,677;MASC
2399;Club/Bar;C. del Montsec;Sant Andreu;Bar;;No;432029,8543;4587188,486;MASC
2400;Comerç;C. de Renart;Sant Andreu;Reformes;;No;431912,7647;4587243,234;MASC
2401;Comerç;C. de Renart;Sant Andreu;Mecànic;;No;431901,6386;4587243,234;MASC
2402;Comerç;C. de Coroleu;Sant Andreu;Reformes;;No;431885,2142;4587170,119;MASC
2403;Laboral (oficines);C. de Coroleu;Sant Andreu;Assessoria;;No;431894,3977;4587155,461;MASC
2404;Comerç;C. de Coroleu;Sant Andreu;Reformes;;No;431906,4069;4587154,401;MASC
2405;Club/Bar;C. de Coroleu;Sant Andreu;Bar;;No;431853,4252;4587162,349;MASC
2406;Club/Bar;Plaça de les Palmeres;Sant Andreu;Bar;;No;431969,9849;4587138,684;MASC
2407;Comerç;Plaça de les Palmeres;Sant Andreu;Reformes;;No;431966,9826;4587116,431;MASC
2408;Comerç;C. de l'Abat Odó;Sant Andreu;Mecànic;;No;432058,1112;4587081,993;MASC
2409;Comerç;C. del Pare Secchi;Sant Andreu;Reformes;;No;432028,0882;4587065,745;MASC
2410;Comerç;C. de Sócrates;Sant Andreu;Reformes;;No;432066,0584;4587020,888;MASC
2411;Comerç;C. de Sócrates;Sant Andreu;Mecànic;;No;432042,04;4587023,537;MASC
2412;Club/Bar;C. de Sócrates;Sant Andreu;Bar;;No;432021,024;4587027,245;MASC
2413;Comerç;C. de Sócrates;Sant Andreu;Ferreteria;;No;431973,1638;4587032,897;MASC
2414;Club/Bar;C. de Castellbell;Sant Andreu;Bar;;No;431970,6914;4587060,094;MASC
2415;Comerç;C. de Sócrates;Sant Andreu;Estanc;;No;431981,4643;4587016,649;MASC
2416;Comerç;C. d'Irlanda;Sant Andreu;Reformes;;No;431961,6845;4586992,631;MASC
2417;Comerç;C. de Castellbell;Sant Andreu;Perruqueria;;No;431959,0354;4587062,92;MASC
2418;Comerç;C. de Castellbell;Sant Andreu;Mecànic;;No;431960,8014;4587073,516;MASC
2419;Club/Bar;C. de l'Abat Odó;Sant Andreu;Bar;Peruà;No;431957,4459;4587083,053;MASC
2420;Comerç;C. de l'Abat Odó;Sant Andreu;Industria;;No;431878,15;4587092,413;MASC
2421;Comerç;C. de l'Abat Odó;Sant Andreu;Reformes;;No;431891,3954;4587090,823;MASC
2422;Laboral (oficines);C. de Sócrates;Sant Andreu;Co-working;;No;431888,2165;4587042,787;MASC
2423;Club/Bar;C. de Concepción arenal;Sant Andreu;Bar;;No;431858,1936;4587066,805;MASC
2424;Comerç;C. de Sócrates;Sant Andreu;Reformes;;No;431887,8633;4587027,599;MASC
2425;Comerç;C. de Sócrates;Sant Andreu;Fusteria;;No;431878,15;4587029,365;MASC
2426;Comerç;C. de Sócrates;Sant Andreu;Mecànic;;No;431911,5285;4587024,596;MASC
2427;Laboral (oficines);C. de Concepción arenal;Sant Andreu;Assegurances;;No;431867,7303;4586977,089;MASC
2428;Club/Bar;C. de Concepción arenal;Sant Andreu;Bar;;No;431869,4963;4586955,897;MASC
2429;Comerç;C. de Concepción arenal;Sant Andreu;Mecànic;;No;431852,5422;4586961,548;MASC
2430;Laboral (oficines);C. de Sócrates;Sant Andreu;Assegurances;;No;431842,6523;4587026,539;MASC
2431;Club/Bar;C. de Sócrates;Sant Andreu;Bar;;No;431826,7578;4587024,243;MASC
2432;Laboral (oficines);C. de Concepción arenal;Sant Andreu;Banc;La Caixa;No;431844,0651;4587046,672;MASC
2433;Club/Bar;Av. Meridiana;Sant Andreu;Bar;;No;431782,2531;4587042,433;MASC
2434;Club/Bar;Av. Meridiana;Sant Andreu;Bar;;No;431782,9596;4587101,243;MASC
2435;Club/Bar;Av. Meridiana;Sant Andreu;Bar;;No;431782,2531;4587085,702;MASC
2436;Club/Bar;C. de Concepción arenal;Sant Andreu;Restaurant;;No;431839,2968;4587087,998;MASC
2437;Club/Bar;C. de Concepción arenal;Sant Andreu;Bar;;No;431834,3518;4587137,271;MASC
2438;Comerç;C. de Concepción arenal;Sant Andreu;Perruqueria;;No;431837,8839;4587104,069;MASC
2439;Laboral (oficines);C. de Concepción arenal;Sant Andreu;Immobiliaria;;No;431828,1706;4587196,257;MASC
2440;Laboral (oficines);C. de Concepción arenal;Sant Andreu;Immobiliaria;;No;431826,4045;4587215,33;MASC
